timestamp	status	S	fit	boundary	sweet	over	n_segs	min_words	max_words	max_duration	chars_per_sec	description
2026-03-21T15:14:21	BASELINE	0.50534	0.2733	0.9843	0.6202	0.051	2667	4	40		14.5	original hardcoded defaults
2026-03-21T15:16:25	DISCARD	0.50534	0.2733	0.9843	0.6202	0.051	2667	4	40		14.5	raise chars_per_sec to 16.0 — calibration test
2026-03-21T15:19:58	KEEP	0.55229	0.3907	0.9843	0.6202	0.051	2667	4	40		16.0	raise chars_per_sec to 16.0 -- calibration test
2026-03-21T15:20:43	KEEP	0.60553	0.5238	0.9843	0.6202	0.051	2667	4	40		17.5	raise chars_per_sec to 17.5 -- pushing calibration
2026-03-21T15:21:46	KEEP	0.66372	0.6693	0.9843	0.6202	0.051	2667	4	40		19.0	raise chars_per_sec to 19.0
2026-03-21T15:22:06	KEEP	0.70797	0.7799	0.9843	0.6202	0.051	2667	4	40		20.5	raise chars_per_sec to 20.5
2026-03-21T15:22:16	KEEP	0.74861	0.8815	0.9843	0.6202	0.051	2667	4	40		22	raise chars_per_sec to 22
2026-03-21T15:22:37	KEEP	0.75821	0.9055	0.9843	0.6202	0.051	2667	4	40		22.5	raise chars_per_sec to 22.5
2026-03-21T15:22:55	KEEP	0.76466	0.9216	0.9843	0.6202	0.051	2667	4	40		23.0	raise chars_per_sec to 23.0
2026-03-21T15:23:04	KEEP	0.76961	0.934	0.9843	0.6202	0.051	2667	4	40		23.5	raise chars_per_sec to 23.5
2026-03-21T15:23:18	KEEP	0.77351	0.9438	0.9843	0.6202	0.051	2667	4	40		24.0	raise chars_per_sec to 24.0
2026-03-21T15:23:30	KEEP	0.77786	0.9546	0.9843	0.6202	0.051	2667	4	40		24.5	raise chars_per_sec to 24.5
2026-03-21T15:23:43	KEEP	0.78101	0.9625	0.9843	0.6202	0.051	2667	4	40		25.0	raise chars_per_sec to 25.0
2026-03-21T15:25:32	DISCARD	0.77714	0.9645	0.8999	0.6714	0.015	2876	4	40	7.0	25.0	max_duration 7.0
2026-03-21T15:26:16	DISCARD	0.77511	0.9635	0.9551	0.6129	0.0226	2738	4	40	10.0	25.0	increase max_duration to 10.0
2026-03-21T15:27:38	KEEP	0.80699	0.9774	0.9806	0.7118	0.0708	2217	8	40		25.0	min_words 8, max_words 40, max_duration null
2026-03-21T15:28:28	DISCARD	0.78807	0.9892	0.9719	0.6412	0.1088	1848	12	40		25.0	raise min_words from 8 to 12
2026-03-21T15:29:14	DISCARD	0.78807	0.9892	0.9719	0.6412	0.1088	1848	12	40		25.0	min_words 8, max_words 30
2026-03-21T15:29:40	DISCARD	0.80217	0.9788	0.9504	0.7131	0.0522	2259	8	30		25.0	min_words 8, max_words 30
2026-03-21T15:30:48	DISCARD	0.80419	0.9785	0.9677	0.7091	0.0641	2231	8	35		25.0	min_words 8, max_words 35
